trialNumberGlobal,trialNumberBlock,blockNumber,timeExperiment,timeBlock,reactionTime,blockType,fireType,targetType,numDistractors,numDistractorsSing,blockFirePosition,targetPosition,trialFirePosition,
608,8,1,1710.872,17.86236,0.3892922,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-8.0, 1.0, 8.0)","(0.0, 0.0, 0.0)",
609,9,1,1712.345,19.33522,0.2456814,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-3.0, 1.0, 13.0)","(0.0, 0.0, 0.0)",
610,10,1,1716.2,23.18966,2.647678,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(18.0, 2.0, 15.0)","(0.0, 0.0, 0.0)",
611,11,1,1718.176,25.16535,0.6364191,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-8.0, 4.0, 9.0)","(0.0, 0.0, 0.0)",
612,12,1,1719.93,26.91936,0.5247414,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 2.0, 14.0)","(0.0, 0.0, 0.0)",
613,13,1,1721.751,28.7403,0.6152347,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-8.0, 1.0, 16.0)","(0.0, 0.0, 0.0)",
614,14,1,1723.582,30.57171,0.5810368,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(11.0, 2.0, 11.0)","(0.0, 0.0, 0.0)",
615,15,1,1725.079,32.06836,0.2902064,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-1.0, 3.0, 12.0)","(0.0, 0.0, 0.0)",
616,16,1,1727.28,34.26852,0.9826976,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(18.0, 1.0, 3.0)","(0.0, 0.0, 0.0)",
617,17,1,1728.754,35.74322,0.2231602,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-2.0, 2.0, 6.0)","(0.0, 0.0, 0.0)",
618,18,1,1730.563,37.55261,0.5814363,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(7.0, 2.0, 4.0)","(0.0, 0.0, 0.0)",
619,19,1,1732.596,39.58562,0.8170136,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(13.0, 3.0, 9.0)","(0.0, 0.0, 0.0)",
620,20,1,1734.202,41.19159,0.4226168,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 3.0, 14.0)","(0.0, 0.0, 0.0)",
621,21,1,1737.153,44.14251,1.732701,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-5.0, 3.0, 0.0)","(0.0, 0.0, 0.0)",
622,22,1,1739.207,46.19654,0.8487259,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 3.0, 5.0)","(0.0, 0.0, 0.0)",
623,23,1,1740.928,47.91799,0.5032697,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-7.0, 2.0, 12.0)","(0.0, 0.0, 0.0)",
624,24,1,1742.819,49.80735,0.6929116,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 1.0, 9.0)","(0.0, 0.0, 0.0)",
625,25,1,1744.751,51.73886,0.7492932,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(4.0, 3.0, 1.0)","(0.0, 0.0, 0.0)",
626,26,1,1746.123,53.1112,0.1559151,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(3.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
627,27,1,1747.866,54.85458,0.5924231,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-13.0, 4.0, 14.0)","(0.0, 0.0, 0.0)",
628,28,1,1750.76,57.748,1.57616,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 1.0, 3.0)","(0.0, 0.0, 0.0)",
629,29,1,1752.134,59.12147,0.2028958,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(1.0, 1.0, 14.0)","(0.0, 0.0, 0.0)",
630,30,1,1754.603,61.59082,1.200051,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-16.0, 3.0, 11.0)","(0.0, 0.0, 0.0)",
